"","income","sex","age","eduyears","eastwest","socialclass_self","leftright"
"1",1800,"FRAU",47,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"2",2000,"MANN",52,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"3",2500,"MANN",61,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"4",860,"FRAU",54,12,"ALTE BUNDESLAENDER",NA,"3"
"5",NA,"MANN",71,NA,"ALTE BUNDESLAENDER","OBERSCHICHT","7"
"6",2500,"MANN",49,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"7",NA,"MANN",20,14,"ALTE BUNDESLAENDER",NA,"4"
"8",750,"FRAU",75,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"9",NA,"MANN",59,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","8"
"10",880,"MANN",65,NA,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"11",1400,"FRAU",76,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"12",1300,"FRAU",37,5,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"13",3000,"FRAU",61,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"14",NA,"MANN",87,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"15",950,"MANN",76,11,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"16",1200,"MANN",23,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"17",3300,"MANN",65,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"18",1500,"MANN",54,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"19",500,"FRAU",68,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"20",1600,"MANN",76,20,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"21",1000,"FRAU",57,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"22",1800,"MANN",23,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"23",740,"MANN",64,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","1"
"24",NA,"FRAU",54,15,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
