"id_region","id_school","public","ratio","percmin","cstr","scsize","urban","id_student","math","homework","white","sex","ses","parented"
"2","1","public",19,0,2,"3","2","3",48,1,"white","female",-0.129999995231628,"2"
"2","1","public",19,0,2,"3","2","8",48,0,"white","male",-0.389999985694885,"2"
"2","1","public",19,0,2,"3","2","13",53,0,"white","male",-0.800000011920929,"2"
"2","1","public",19,0,2,"3","2","17",42,1,"white","male",-0.720000028610229,"2"
"2","1","public",19,0,2,"3","2","27",43,2,"white","female",-0.740000009536743,"2"
"2","1","public",19,0,2,"3","2","28",57,1,"white","female",-0.579999983310699,"2"
"2","1","public",19,0,2,"3","2","30",33,5,"white","female",-0.829999983310699,"2"
"2","1","public",19,0,2,"3","2","36",64,1,"white","male",-0.509999990463257,"3"
"2","1","public",19,0,2,"3","2","37",36,1,"white","female",-0.560000002384186,"2"
"2","1","public",19,0,2,"3","2","42",56,2,"white","female",0.209999993443489,"3"
"2","1","public",19,0,2,"3","2","52",48,1,"white","female",-0.699999988079071,"2"
"2","1","public",19,0,2,"3","2","53",48,1,"white","male",-0.189999997615814,"3"
"2","1","public",19,0,2,"3","2","61",44,1,"white","male",-1.3400000333786,"2"
"2","1","public",19,0,2,"3","2","64",35,2,"white","female",-1.58000004291534,"1"
"2","1","public",19,0,2,"3","2","72",50,1,"white","female",-0.0500000007450581,"2"
"2","1","public",19,0,2,"3","2","83",36,4,"white","female",-0.5,"3"
"2","1","public",19,0,2,"3","2","84",47,1,"white","female",-0.259999990463257,"3"
"2","1","public",19,0,2,"3","2","85",41,2,"white","female",-0.939999997615814,"1"
"2","1","public",19,0,2,"3","2","88",42,1,"white","female",-0.46000000834465,"3"
"2","1","public",19,0,2,"3","2","93",49,1,"white","male",-0.389999985694885,"3"
"2","1","public",19,0,2,"3","2","94",39,1,"white","female",0.579999983310699,"3"
"2","1","public",19,0,2,"3","2","96",45,1,"white","male",0.479999989271164,"3"
"2","1","public",19,0,2,"3","2","99",48,1,"white","female",-0.699999988079071,"3"
"2","2","public",18,7,5,"3","1","0",58,2,"non-white","female",-1.24000000953674,"3"
"2","2","public",18,7,5,"3","1","15",43,2,"non-white","male",-1.53999996185303,"2"
"2","2","public",18,7,5,"3","1","17",49,1,"non-white","male",-1.05999994277954,"1"
"2","2","public",18,7,5,"3","1","20",42,1,"non-white","male",-0.0199999995529652,"3"
"2","2","public",18,7,5,"3","1","24",35,5,"non-white","female",-1.62999999523163,"1"
"2","2","public",18,7,5,"3","1","25",38,2,"non-white","male",-0.389999985694885,"2"
"2","2","public",18,7,5,"3","1","29",35,1,"non-white","male",-1.07000005245209,"1"
"2","2","public",18,7,5,"3","1","31",42,4,"non-white","male",-0.0199999995529652,"3"
"2","2","public",18,7,5,"3","1","34",41,4,"non-white","male",0.109999999403954,"4"
"2","2","public",18,7,5,"3","1","38",31,3,"non-white","male",0.129999995231628,"3"
"2","2","public",18,7,5,"3","1","44",41,2,"non-white","male",-1.66999995708466,"1"
"2","2","public",18,7,5,"3","1","54",32,1,"non-white","female",-1.63999998569489,"1"
"2","2","public",18,7,5,"3","1","62",65,0,"non-white","male",-1.00999999046326,"3"
"2","2","public",18,7,5,"3","1","65",50,1,"non-white","female",-1.00999999046326,"3"
"2","2","public",18,7,5,"3","1","66",37,3,"non-white","male",-1.1599999666214,"1"
"2","2","public",18,7,5,"3","1","68",44,3,"non-white","male",-0.28999999165535,"3"
"2","2","public",18,7,5,"3","1","81",44,3,"non-white","female",-1.28999996185303,"1"
"2","2","public",18,7,5,"3","1","91",41,2,"non-white","male",0.0299999993294477,"3"
"2","2","public",18,7,5,"3","1","93",39,3,"non-white","female",-1.0900000333786,"2"
"2","2","public",18,7,5,"3","1","98",36,4,"non-white","female",-1.10000002384186,"1"
"2","3","public",14,1,4,"6","3","3",65,4,"white","female",0.980000019073486,"4"
"2","3","public",14,1,4,"6","3","8",62,3,"white","male",0.239999994635582,"3"
"2","3","public",14,1,4,"6","3","11",44,1,"non-white","female",0.349999994039536,"4"
"2","3","public",14,1,4,"6","3","16",63,4,"white","male",0.649999976158142,"5"
"2","3","public",14,1,4,"6","3","21",43,2,"white","female",-0.0299999993294477,"3"
"2","3","public",14,1,4,"6","3","24",68,4,"white","female",0.389999985694885,"3"
"2","3","public",14,1,4,"6","3","26",50,1,"white","male",-0.189999997615814,"3"
"2","3","public",14,1,4,"6","3","34",57,2,"white","male",-0.759999990463257,"3"
"2","3","public",14,1,4,"6","3","43",53,1,"white","female",-0.109999999403954,"3"
"2","3","public",14,1,4,"6","3","52",48,1,"white","male",1.21000003814697,"6"
"2","3","public",14,1,4,"6","3","53",53,2,"non-white","female",-1.85000002384186,"1"
"2","3","public",14,1,4,"6","3","57",47,1,"white","male",-0.899999976158142,"2"
"2","3","public",14,1,4,"6","3","59",36,0,"white","male",-0.870000004768372,"2"
"2","3","public",14,1,4,"6","3","61",52,1,"white","female",1.33000004291534,"5"
"2","3","public",14,1,4,"6","3","63",70,3,"white","female",1.48000001907349,"6"
"2","3","public",14,1,4,"6","3","64",51,2,"non-white","female",-0.759999990463257,"3"
"2","3","public",14,1,4,"6","3","65",67,2,"white","male",0.629999995231628,"3"
"2","3","public",14,1,4,"6","3","68",44,1,"white","male",-0.119999997317791,"2"
"2","3","public",14,1,4,"6","3","71",70,3,"white","male",0.0299999993294477,"3"
"2","3","public",14,1,4,"6","3","73",33,1,"white","female",-0.119999997317791,"3"
"2","3","public",14,1,4,"6","3","81",70,2,"white","female",1.04999995231628,"5"
"2","3","public",14,1,4,"6","3","83",54,1,"white","female",0.28999999165535,"3"
"2","3","public",14,1,4,"6","3","90",37,1,"white","male",-0.340000003576279,"2"
"2","3","public",14,1,4,"6","3","97",41,1,"white","female",0.949999988079071,"5"
"3","4","public",18,0,4,"2","3","1",31,1,"white","male",-1.66999995708466,"2"
"3","4","public",18,0,4,"2","3","5",39,0,"white","male",-0.519999980926514,"2"
